NaN,79,79,79,79,79,79,79,79,79,79,79,79,NaN
79,142,142,142,142,142,142,142,142,142,142,142,142,79
79,142,79,79,142,142,142,142,142,142,79,79,142,79
79,142,79,142,142,142,142,142,142,142,142,79,142,79
79,142,142,142,142,142,142,142,142,142,142,142,142,79
79,142,142,142,142,79,79,142,142,142,142,142,142,79
79,142,142,142,142,142,79,142,142,79,142,142,142,79
79,142,142,142,142,142,142,142,142,79,79,142,142,79
79,142,79,79,142,142,142,142,142,142,142,142,142,79
79,142,79,142,142,142,142,142,142,142,142,142,142,79
79,142,142,142,142,79,142,142,142,142,142,79,142,79
79,142,142,142,142,79,142,142,79,79,79,79,142,79
79,142,142,142,142,142,142,142,142,142,142,142,142,79
NaN,79,79,79,79,79,79,79,79,79,79,79,79,NaN
